pair_id,case_id,n_diff,n_positive_consistent,positive_fraction,sign_agreement_rate,credit_abs_sum,credit_positive_sum,c_avg_sum,reward_gap,n_eff,n_eff_ratio,topk_top10,topk_top20,topk_top30,topk_top50
sab2_4r2g_d:sab2_4r2g_d_s21:sab2_4r2g_d_s02,sab2_4r2g_d,28,9,0.32142857142857145,0.4642857142857143,49.74774527549744,6.801753520965576,5.371257901191711,8.221385955810547,5.880954693023459,0.21003409617940924,0.5700311778115326,0.846213883025966,1.0,1.0
sab2_4r2g_d:sab2_4r2g_d_s19:sab2_4r2g_d_s09,sab2_4r2g_d,25,15,0.6,0.76,49.31787443161011,6.361533164978027,23.050553560256958,5.835981369018555,4.9211244881033585,0.19684497952413435,0.6602280681161121,0.7843380554320025,0.9062473249960911,0.9953299210215169
sab2_4r2g_d:sab2_4r2g_d_s06:sab2_4r2g_d_s26,sab2_4r2g_d,26,11,0.4230769230769231,0.5769230769230769,26.001081466674805,4.662171363830566,9.267772197723389,5.183481216430664,6.00613467713517,0.23100517988981423,0.6319527246938362,0.9171501855014512,0.9829621361028555,1.0
sab2_4r2g_d:sab2_4r2g_d_s18:sab2_4r2g_d_s28,sab2_4r2g_d,25,8,0.32,0.68,25.644205570220947,7.203289985656738,6.131366014480591,4.991594314575195,5.926778173409023,0.2370711269363609,0.5923918044240075,0.8278539537628901,1.0,1.0
sab2_4xmp_h:sab2_4xmp_h_s24:sab2_4xmp_h_s12,sab2_4xmp_h,25,15,0.6,0.68,28.128751277923584,12.610154151916504,21.144098043441772,21.216861724853516,5.219562818930021,0.20878251275720086,0.5822486397450446,0.7352892619172855,0.883739295401357,0.9896015981601344
sab2_4xmp_h:sab2_4xmp_h_s21:sab2_4xmp_h_s10,sab2_4xmp_h,22,7,0.3181818181818182,0.6363636363636364,38.03340594097972,10.274508476257324,18.0390151347965,14.929474830627441,4.2510588975393535,0.19322994988815242,0.7891354452173521,0.9531452941044886,1.0,1.0
sab2_4xmp_h:sab2_4xmp_h_s25:sab2_4xmp_h_s20,sab2_4xmp_h,28,7,0.25,0.4642857142857143,52.86026880145073,6.429239943623543,15.369796574115753,13.371561050415039,3.7422025844899665,0.1336500923032131,0.7957675648287397,0.985152257425792,1.0,1.0
sab2_4xmp_h:sab2_4xmp_h_s23:sab2_4xmp_h_s09,sab2_4xmp_h,25,6,0.24,0.72,34.81643879413605,5.151348829269409,-3.4704763293266296,11.871723890304565,2.662627611016849,0.10650510444067397,0.8558119306093869,0.9908290272250396,1.0,1.0
sab2_4xmp_h:sab2_4xmp_h_s01:sab2_4xmp_h_s05,sab2_4xmp_h,30,14,0.4666666666666667,0.7333333333333333,42.5192806199193,18.13611140102148,19.869304534047842,9.746668219566345,9.377963936241558,0.3125987978747186,0.41819256493669515,0.7415551871662655,0.9052092214876873,1.0
sab2_4xmp_h:sab2_4xmp_h_s11:sab2_4xmp_h_s27,sab2_4xmp_h,24,13,0.5416666666666666,0.75,43.490997210145,13.034914508461952,14.097139917314053,8.63801121711731,6.96324575871545,0.2901352399464771,0.5691797118748132,0.7725718614354853,0.9375610660821334,0.9957357272532554
sab2_4xmp_h:sab2_4xmp_h_s04:sab2_4xmp_h_s16,sab2_4xmp_h,21,10,0.47619047619047616,0.7142857142857143,32.5019846893847,8.846737015992403,13.396989246830344,7.634878318756819,4.535711158045825,0.21598624562122978,0.7225068419398726,0.9316680174491351,0.9762453973669205,1.0
sab2_4xmp_h:sab2_4xmp_h_s18:sab2_4xmp_h_s31,sab2_4xmp_h,26,4,0.15384615384615385,0.3076923076923077,74.24861741065979,1.8699719458818436,8.837418302893639,7.339884474873543,3.064087423749264,0.11784951629804861,0.9503293975004385,1.0,1.0,1.0
sab2_5vxk_b:sab2_5vxk_b_s16:sab2_5vxk_b_s12,sab2_5vxk_b,18,9,0.5,0.5,47.79775516188238,5.993181347846985,26.389980872452725,16.07141399383545,5.3034495633083685,0.29463608685046494,0.5169181665223223,0.771164851553122,0.8925510451641151,1.0
sab2_5vxk_b:sab2_5vxk_b_s22:sab2_5vxk_b_s04,sab2_5vxk_b,22,12,0.5454545454545454,0.6363636363636364,43.1344438791275,14.461458683013916,26.719330608844757,13.069165706634521,6.996749427776756,0.3180340648989434,0.5551908892270963,0.7090341008702983,0.8205414774004788,0.9790524077897045
sab2_5vxk_b:sab2_5vxk_b_s07:sab2_5vxk_b_s08,sab2_5vxk_b,19,10,0.5263157894736842,0.6842105263157895,56.30252907704562,4.8683165311813354,16.079956183675677,12.086894273757935,5.608719491014625,0.29519576268498027,0.47313999748129204,0.776317651433887,0.9512702493552698,1.0
sab2_5vxk_b:sab2_5vxk_b_s15:sab2_5vxk_b_s14,sab2_5vxk_b,15,6,0.4,0.6666666666666666,21.85426414012909,4.680110931396484,7.915091097354889,10.231481790542603,4.399265556736132,0.29328437044907546,0.588622568290021,0.7486983571107777,0.936337227547004,1.0
sab2_5vxk_b:sab2_5vxk_b_s10:sab2_5vxk_b_s18,sab2_5vxk_b,18,9,0.5,0.7777777777777778,17.12822723388672,5.270567417144775,6.915854454040527,5.695703506469727,4.227770633001119,0.23487614627783993,0.6134228689460527,0.8586116521569673,0.9731625674093277,1.0
sab2_5vxk_b:sab2_5vxk_b_s20:sab2_5vxk_b_s25,sab2_5vxk_b,17,5,0.29411764705882354,0.8235294117647058,12.81624698638916,3.5941057205200195,0.32335329055786133,4.13480281829834,4.586650354943177,0.269802962055481,0.5308986431104895,0.8705041774429491,1.0,1.0
sab2_5vxk_b:sab2_5vxk_b_s00:sab2_5vxk_b_s24,sab2_5vxk_b,18,7,0.3888888888888889,0.7222222222222222,15.624558925628662,6.051424026489258,4.424556493759155,3.318460464477539,5.093446579128224,0.28296925439601245,0.4703451866854898,0.8475958406260431,0.994722142636735,1.0
sab2_5vxk_b:sab2_5vxk_b_s26:sab2_5vxk_b_s23,sab2_5vxk_b,18,7,0.3888888888888889,0.6666666666666666,24.28958225250244,6.013029098510742,5.139231204986572,2.6647415161132812,5.510568909598589,0.3061427171999216,0.4872419516970182,0.7875153169219038,0.9528194396996218,1.0
sab2_6mqe_h:sab2_6mqe_h_s21:sab2_6mqe_h_s13,sab2_6mqe_h,20,14,0.7,0.75,22.836295790970325,8.26925253868103,15.157429073005915,13.770386695861816,8.882170329370135,0.44410851646850674,0.33398790482888546,0.585343705104167,0.7506664142142148,0.9246321023047127
sab2_6mqe_h:sab2_6mqe_h_s20:sab2_6mqe_h_s02,sab2_6mqe_h,21,11,0.5238095238095238,0.7619047619047619,28.79194224998355,10.15787124633789,11.054299896582961,11.7925705909729,8.265997336017156,0.3936189207627217,0.4768816951921362,0.6777519176063016,0.8519545032061814,1.0
sab2_6mqe_h:sab2_6mqe_h_s15:sab2_6mqe_h_s24,sab2_6mqe_h,19,9,0.47368421052631576,0.8947368421052632,15.75006951391697,12.060293555259705,7.487527437508106,10.637370109558105,5.669027436995919,0.29836986510504837,0.4725154104651051,0.757944767212708,0.9213475857123335,1.0
sab2_6mqe_h:sab2_6mqe_h_s07:sab2_6mqe_h_s00,sab2_6mqe_h,22,10,0.45454545454545453,0.7272727272727273,38.623689328320324,13.319983392953873,13.225198077503592,9.820573657751083,5.74888157883534,0.26131279903797,0.6272850978758151,0.860708490195752,0.9659790493395,1.0
